temperature,humidity,pressure0,wind_speed,rain,created_at,id
23.2,29,1017.1,0.2,False,2025-04-02T16:37:59.96132+02:00,
18.0,38,1018.1,0.0,False,2025-04-02T16:51:48.593742+02:00,
16.9,41,1018.1,0.0,False,2025-04-02T17:00:31.270798+02:00,
16.8,41,1018.1,0.2,False,2025-04-02T17:01:15.44991+02:00,
16.6,42,1017.1,0.0,False,2025-04-02T17:02:06.096508+02:00,
16.5,42,1017.1,0.4,False,2025-04-02T17:05:53.517013+02:00,
16.7,42,1018.1,0.0,False,2025-04-02T17:09:14.432367+02:00,
16.5,43,1018.1,0.0,False,2025-04-02T17:11:46.201411+02:00,
16.6,43,1018.1,0.0,False,2025-04-02T17:12:41.948559+02:00,
18.5,38,1018.1,0.0,False,2025-04-02T17:44:14.871081+02:00,
16.2,44,1018.1,0.2,False,2025-04-02T18:04:15.42617+02:00,
17.6,42,1018.1,0.0,False,2025-04-02T18:24:15.904747+02:00,
19.1,41,1018.1,0.0,False,2025-04-02T18:44:16.414765+02:00,
15.2,54,1018.1,0.0,False,2025-04-02T19:04:16.935078+02:00,
13.3,61,1018.1,0.0,False,2025-04-02T19:24:17.40572+02:00,
13.1,61,1018.1,0.0,True,2025-04-02T19:26:10.439183+02:00,
12.9,63,1018.1,0.0,False,2025-04-02T19:28:57.280444+02:00,
11.3,72,1018.1,0.0,False,2025-04-02T19:48:57.823728+02:00,
10.0,75,1019.1,0.0,False,2025-04-02T20:08:58.332124+02:00,
9.1,80,1019.1,0.0,False,2025-04-02T20:28:58.901503+02:00,
8.6,80,1019.1,0.0,False,2025-04-02T20:48:59.357869+02:00,
8.3,82,1020.2,0.0,False,2025-04-02T21:08:59.805725+02:00,
8.1,83,1020.2,0.6,False,2025-04-02T21:29:00.265622+02:00,
8.2,83,1020.2,0.9,False,2025-04-02T21:49:00.760612+02:00,
8.5,82,1020.2,0.0,False,2025-04-02T22:09:01.208291+02:00,
8.6,82,1020.2,0.1,True,2025-04-02T22:29:01.649497+02:00,
8.4,84,1021.2,0.0,True,2025-04-02T22:49:02.088307+02:00,
8.7,81,1021.2,0.0,True,2025-04-02T23:09:02.535207+02:00,
8.8,82,1021.2,0.0,True,2025-04-02T23:29:03.025621+02:00,
8.7,83,1021.2,0.0,True,2025-04-02T23:49:03.468738+02:00,
8.6,84,1021.2,0.0,True,2025-04-03T00:09:03.906146+02:00,
8.7,84,1021.2,0.0,False,2025-04-03T00:29:04.350957+02:00,
8.7,85,1021.2,0.0,False,2025-04-03T00:49:04.78151+02:00,
8.7,85,1022.2,0.2,False,2025-04-03T01:09:05.252542+02:00,
8.4,86,1022.2,0.1,False,2025-04-03T01:29:05.697295+02:00,
8.5,86,1022.2,0.2,False,2025-04-03T01:49:06.141319+02:00,
8.5,86,1022.2,0.0,False,2025-04-03T02:09:06.598088+02:00,
8.1,88,1022.2,0.2,False,2025-04-03T02:29:07.029997+02:00,
8.0,89,1022.2,0.0,False,2025-04-03T02:49:07.465908+02:00,
8.0,87,1022.2,0.0,False,2025-04-03T03:09:07.901017+02:00,
7.6,87,1021.2,0.0,False,2025-04-03T03:29:08.340922+02:00,
7.1,90,1021.2,0.0,False,2025-04-03T03:49:08.778855+02:00,
6.6,90,1021.2,0.5,False,2025-04-03T04:09:09.226783+02:00,
6.4,90,1021.2,0.0,False,2025-04-03T04:29:09.673357+02:00,
6.0,91,1021.2,0.1,False,2025-04-03T04:49:10.129831+02:00,
5.7,91,1021.2,0.0,False,2025-04-03T05:09:10.57515+02:00,
5.5,91,1021.2,0.0,False,2025-04-03T05:29:11.001438+02:00,
5.6,91,1021.2,0.0,False,2025-04-03T05:49:11.448214+02:00,
5.7,90,1021.2,0.0,False,2025-04-03T06:09:11.902735+02:00,
5.3,91,1021.2,0.0,False,2025-04-03T06:29:12.337852+02:00,
5.4,91,1022.2,0.0,False,2025-04-03T06:49:12.772175+02:00,
5.9,90,1022.2,0.0,False,2025-04-03T07:09:13.219614+02:00,
6.6,88,1022.2,0.0,False,2025-04-03T07:29:13.651879+02:00,
7.4,87,1022.2,0.0,False,2025-04-03T07:49:14.084978+02:00,
8.7,84,1022.2,0.0,False,2025-04-03T08:09:14.52465+02:00,
9.7,78,1022.2,0.0,False,2025-04-03T08:29:14.96431+02:00,
9.7,78,1022.2,0.0,False,2025-04-03T08:49:15.777992+02:00,
9.7,79,1022.2,0.0,False,2025-04-03T09:09:16.322134+02:00,
10.8,72,1022.2,0.0,False,2025-04-03T09:29:16.832795+02:00,
11.8,70,1022.2,0.0,False,2025-04-03T09:49:17.303868+02:00,
12.2,68,1022.2,0.7,False,2025-04-03T10:09:17.793759+02:00,
12.7,64,1022.2,0.5,False,2025-04-03T10:29:18.250769+02:00,
13.2,60,1022.2,0.0,False,2025-04-03T10:49:18.711152+02:00,
14.0,54,1022.2,0.4,False,2025-04-03T11:09:19.18868+02:00,
